station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MJX,2024-01-01 00:56,32.00,29.00,88.53,0.00,0.00,0.00,30.03,1017.40,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,32.00,KMJX 010056Z AUTO 00000KT 10SM BKN100 00/M02 A3003 RMK AO2 SLP174 T00001017 FZRANO,M
MJX,2024-01-01 02:56,32.00,29.00,88.53,0.00,0.00,0.00,30.03,1017.30,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,32.00,KMJX 010256Z AUTO 00000KT 10SM OVC048 00/M02 A3003 RMK AO2 SLP173 T00001017 55000 FZRANO,M
MJX,2024-01-01 03:56,33.00,30.00,88.58,0.00,0.00,0.00,30.04,1017.70,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,33.00,KMJX 010356Z AUTO 00000KT 10SM OVC048 01/M01 A3004 RMK AO2 SLP177 T00061011 FZRANO,M
MJX,2024-01-01 04:56,35.00,30.00,81.78,0.00,0.00,0.00,30.03,1017.40,10.00,M,BKN,OVC,M,M,5000.00,7000.00,M,M,M,M,M,M,M,M,M,35.00,KMJX 010456Z AUTO 00000KT 10SM BKN050 OVC070 02/M01 A3003 RMK AO2 SLP174 T00171011 400611033 FZRANO,M
MJX,2024-01-01 13:56,40.00,34.00,78.94,360.00,3.00,0.00,30.03,1017.40,10.00,M,FEW,SCT,M,M,8000.00,12000.00,M,M,M,M,M,M,M,M,M,37.83,KMJX 011356Z AUTO 36003KT 10SM FEW080 SCT120 04/01 A3003 RMK AO2 SLP174 T00440011 TSNO,M
MJX,2024-01-01 18:56,47.00,35.00,62.84,70.00,3.00,0.00,30.00,1016.40,10.00,M,BKN,OVC,M,M,3200.00,3900.00,M,M,M,M,M,M,M,M,M,45.84,KMJX 011856Z AUTO 07003KT 10SM BKN032 OVC039 08/02 A3000 RMK AO2 SLP164 T00830017,M
MJX,2024-01-02 01:56,40.00,34.00,78.94,340.00,5.00,0.00,30.07,1018.60,10.00,M,BKN,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,35.90,KMJX 020156Z AUTO 34005KT 10SM BKN075 OVC100 04/01 A3007 RMK AO2 SLP186 T00440011,M
MJX,2024-01-02 05:56,32.00,27.00,81.55,330.00,4.00,0.00,30.08,1019.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.42,KMJX 020556Z AUTO 33004KT 10SM CLR 00/M03 A3008 RMK AO2 SLP190 T00001028 10044 20000 51001 FZRANO,M
MJX,2024-01-02 06:56,30.00,27.00,88.44,340.00,5.00,0.00,30.08,1019.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.02,KMJX 020656Z AUTO 34005KT 10SM CLR M01/M03 A3008 RMK AO2 SLP191 T10111028 FZRANO TSNO,M
MJX,2024-01-02 07:56,29.00,26.00,88.38,340.00,3.00,0.00,30.09,1019.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.26,KMJX 020756Z AUTO 34003KT 10SM CLR M02/M03 A3009 RMK AO2 SLP195 T10171033 FZRANO,M
MJX,2024-01-02 12:56,27.00,23.00,84.66,320.00,4.00,0.00,30.14,1021.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.58,KMJX 021256Z AUTO 32004KT 10SM CLR M03/M05 A3014 RMK AO2 SLP211 T10281050 FZRANO,M
MJX,2024-01-02 13:56,30.00,23.00,74.87,340.00,8.00,0.00,30.15,1021.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.65,KMJX 021356Z AUTO 34008KT 10SM CLR M01/M05 A3015 RMK AO2 SLP214 T10111050 FZRANO,M
MJX,2024-01-02 14:56,33.00,22.00,63.59,320.00,10.00,0.00,30.15,1021.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.22,KMJX 021456Z AUTO 32010KT 10SM CLR 01/M06 A3015 RMK AO2 SLP216 T00061056 51009 FZRANO,M
MJX,2024-01-10 13:56,47.00,40.00,76.49,240.00,11.00,0.00,M,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.42,KMJX 101356Z AUTO 24011KT 10SM 08/04 RMK AO2 SLPNO T00830044 $,M
