,Data Type,Count,Mean,Median,Std,Mode,Null Percentage,Unique Values,Most Frequent Count
tmpf,Quantitative,11418,54.56,54.0,18.48,[59.0],0.04%,,
dwpf,Quantitative,11416,45.75,48.0,18.53,[59.0],0.06%,,
relh,Quantitative,11416,75.4,80.83,20.79,[100.0],0.06%,,
drct,Quantitative,11141,162.4,180.0,122.03,[0.0],2.47%,,
sknt,Quantitative,11415,6.03,6.0,4.7,[0.0],0.07%,,
alti,Quantitative,11312,30.02,30.01,0.23,[30.03],0.97%,,
mslp,Quantitative,8928,1017.29,1017.0,7.89,[1017.3],21.84%,,
vsby,Quantitative,11422,8.91,10.0,2.59,[10.0],0.01%,,
gust,Quantitative,1855,20.27,19.0,4.62,[18.0],83.76%,,
skyc4,Quantitative,0,,,,,100.0%,,
skyl1,Quantitative,6484,3022.92,1900.0,3015.17,[400.0],43.24%,,
skyl2,Quantitative,2177,4528.2,3700.0,2911.25,[6000.0],80.94%,,
skyl3,Quantitative,805,5730.93,5000.0,2714.98,[6000.0],92.95%,,
skyl4,Quantitative,0,,,,,100.0%,,
ice_accretion_1hr,Quantitative,0,,,,,100.0%,,
ice_accretion_3hr,Quantitative,0,,,,,100.0%,,
ice_accretion_6hr,Quantitative,0,,,,,100.0%,,
peak_wind_gust,Quantitative,452,29.56,29.0,3.47,[26.0],96.04%,,
peak_wind_drct,Quantitative,452,267.57,290.0,54.72,[290.0],96.04%,,
feel,Quantitative,11414,53.09,54.0,21.33,[59.0],0.08%,,
snowdepth,Quantitative,0,,,,,100.0%,,
station,Qualitative,11423,,,,,0.0%,1,
valid,Qualitative,11423,,,,"['2024-01-19 13:45', '2024-03-06 12:55', '2024-12-29 04:55']",0.0%,11420,2
p01i,Qualitative,11420,,,,['0.00'],0.03%,47,9365
skyc1,Qualitative,11393,,,,['CLR'],0.26%,6,4909
skyc2,Qualitative,2177,,,,['OVC'],80.94%,3,964
skyc3,Qualitative,805,,,,['OVC'],92.95%,3,656
wxcodes,Qualitative,2351,,,,"['-RA', 'BR']",79.42%,29,576
peak_wind_time,Qualitative,452,,,,"['2024-01-20 15:20', '2024-07-10 20:22']",96.04%,421,4
metar,Qualitative,11423,,,,,0.0%,11423,
